ID,Ime,Drzava,Datum_ustanovitve,Opis
0,07th Expansion,Japan,2002,
1,0verflow,Japan,1997,Visual Novel brand (both developer and publisher)
2,1-Up Studio,Japan,2000,Subsidiary of Nintendo. Formed by former employees of Square
3,11 bit studios,Poland,2010,Indie developer/publisher
4,1C Company,Russia,1991,"Game localization. The game development subsidiary, Snowball Studios [ru], was dissolved and former employees of the studios formed Snowbird Game Studios."
5,2K Czech,Czech Republic,1997,Former subsidiary of 2K Games; previously known as Illusion Softworks; closed in 2017 after merged into Hangar 13
6,2K Games,United States,2005,Developer/publisher/distributor/marketer; owned by Take-Two Interactive
7,2K Sports,United States,2005,Developer/publisher and subsidiary of 2K Games
8,343 Industries,United States,2009,"Subsidiary of Microsoft Studios, took over development for the Halo franchise from Bungie"
9,38 Studios,United States,2006,Defunct in 2012; their assets were acquired by THQ Nordic
10,3D Realms,United States,1987,
11,42 Entertainment,United States,1993,
12,4A Games,UkraineMalta,2005,They moved its headquarters from Ukraine to Malta; acquired by Embracer Group in 2020[1]
13,505 Games,Italy,2006,Publishing division of Digital Bros. group.
14,5pb.,Japan,2005,"Label of KID until 2006, and of Cyberfront since then."
15,5th Cell,United States,2003,
16,7th Level,United States,1993,Defunct in 1998.
17,989 Studios,United States,1995,Division of Sony Computer Entertainment America
18,A&F Software,UK,1981,Merged with MC Lothlorien in 1986 to become Icon Design Ltd.
19,ABC Software,Switzerland,1991,Acquired by Electronic Arts in 1998.
20,ACE Team,Chile,2007,
21,ADK,Japan,1980,Known as Alpha Denshi Corporation in 1993. Defunct in 2003.
22,AGEod,France,2005,Acquired by Paradox Interactive in 2009 and renamed to Paradox France. They became independent in 2012 and their games are now published by The Slitherine Group.
23,ALcot,Japan,2003,
24,ANALOG Software,United States,1981,Software publishing arm of ANALOG Computing. Defunct in 1989.
25,APF Electronics Inc.,United States,1970,Defunct in 1983.
26,AQ Interactive,Japan,2005,Merged into Marvelous Entertainment in 2011
27,ASC Games,United States,1992,Defunct in 2000.
28,ASCII Corporation,Japan,1977,Acquired by Kadokawa Group Holdings in 2004.
29,Aackosoft,Netherlands,1983,Defunct in 1988.
30,Aardvark Software,UK,1983,Defunct in 1989.
31,Absolute Entertainment,United States,1986,Defunct in 1995.
32,Access Games,Japan,2002,Subsidiary of Digital Media Lab [ja]
33,Access Software,United States,1982,Acquired by Microsoft
34,Acclaim Entertainment,United States,1987,Developer/Publisher; declared Bankruptcy August 2004
35,Acclaim Studios Austin,United States,1991,Acquired by Acclaim Entertainment in 1995
36,Accolade,United States,1984,"Former publisher and developer. Acquired by Atari, SA née Infogrames in 1999, name retired."
37,Aces Studio,United States,,Acquired by Microsoft
38,Acornsoft,UK,1980,Rights sold to Superior Software in 1986.
39,Acquire,Japan,1994,Developer/publisher; acquired by GungHo Online Entertainment
40,Action Forms,Ukraine,1995,Their main employees moved to Tatem Games
41,Active Gaming Media,Japan,2006,"Game localization, debugging/testing, international indie game distribution, publishing"
42,Active Gaming Media AGM,Japan,2006,"PLAYISM part of Active Gaming Media Inc., focuses on the localization and distribution of video games."
43,Activision,United States,1979,Also video game publisher; acquired several other developers; merged with Vivendi to form Activision Blizzard in 2008
44,Activision Blizzard,United States,2008,Formed by merger between Activision and Vivendi Games in 2008.
45,Addictive Games,UK,1982,"Acquired by Prism Leisure Corporation in 1987, which continued to use the Addictive Games label until 1992."
46,Adventure International,United States,1978,Defunct in 1985.
47,Adventure Soft,United Kingdom,1992,"The development company is now defunct but the publishing company, Adventure Soft Publishing, is still active."
48,Affect,Japan,1990,Defunct in 2008.
49,Agatsuma Entertainment,Japan,1997,Defunct in 2016.
50,Agetec,United States,1998,Focuses on distributing Japanese titles in the US.
51,Akabeisoft2,Japan,2005,
52,Akella,Russia,1995,Defunct in 2012
53,Aksys,United States,2006,
54,Akupara Games,United States,2016,"Also a video game developer, and does work for hire console and mobile porting."
55,Alawar,Russia,1999,"Also a video game developer, marketer, and distributor."
56,Alchemist,Japan,1991,Defunct in 2016.
57,Alfa System,Japan,1988,
58,AliceSoft,Japan,1989,
59,Alligata,UK,1983,Acquired by Superior Software in 1987.
60,Allumer,Japan,1983,Defunct in 1999.
61,AlphaDream,Japan,2000,Defunct in 2019
62,Alten8,UK,2005,Also a video game developer.
63,Alternative Software,UK,1985,
64,Amazon Game Studios,United States,2012,Subsidiary of Amazon.com
65,"Amazon Game Studios, Orange County (formerly Double Helix Games)",United States,2007,acquired by Amazon and incorporated in Amazon Game Studios
66,Ambrella,Japan,1996,
67,American Game Cartridges,United States,1990,Defunct in 1994.
68,American Laser Games,United States,1989,"Acquired by its former division, Her Interactive, in 1999."
69,American Video Entertainment,United States,1990,Published last game in 1994.
70,Amplitude Studios,France,2011,Acquired by Sega in 2016 and their games are now published by Sega.
71,Amsoft,UK,1984,Publishing arm of Amstrad until 1989.
72,Amusement Vision,Japan,2000,Subsidiary of Sega
73,Ancient,Japan,1990,
74,Anino,Philippines,2001,
75,Ankama Games,France,2001,
76,Antic Software,United States,1982,Software publishing arm of Antic. Defunct in 1990.
77,Anuman,France,2000,Also a video game developer.
78,Apogee Software,United States,2008,Also a video game developer.
79,Apple Inc.,United States,1976,Known as Apple Computer until 2007.
80,Appy Entertainment,United States,2008,
81,Aquaplus,Japan,1994,
82,Aquria,Japan,2002,
83,Arc System Works,Japan,1988,Developer/publisher
84,Arcadia Systems,United States,1987,Division of Mastertronic. Defunct in 1991.
85,Arcane Kids,United States,2010,
86,Arcen Games,United States,2009,
87,ArenaNet,United States,2000,Subsidiary of NCSoft
88,Argus Press,UK,1966,"Published games through its Argus Press Software division, which was acquired in 1987 and renamed Grandslam Entertainment."
89,Arika,Japan,1995,
90,Ariolasoft,Germany,1983,Software publishing arm of Ariola Records. Reestablished as United Software in 1990.
91,Arkane Studios,France,1999,Subsidiary of ZeniMax Media
92,Arkedo Studio,France,2006,Defunct in 2013
93,Armor Games,United States,2005,"Published flash titles before branching out into mobile, PC, and console markets."
94,Arsys Software,Japan,1985,Defunct in 2001.
95,"Art Co., Ltd",Japan,1995,
96,Artdink,Japan,1986,
97,ArtePiazza,Japan,1989,
98,Artech Digital Entertainment,Canada,1982,Defunct in 2011.
99,Artic Computing,UK,1980,Defunct in 1986.
100,Artificial Studios,United States,2001,Subsumed by Ignition Entertainment which was defunct in 2012
101,Artoon,Japan,1999,Subsidiary of AQ Interactive; defunct in 2010
