Ime,Drzava,Datum ustanovitve,Opis
07th Expansion,Japan,2002,
0verflow,Japan,1997,Visual Novel brand (both developer and publisher)
1-Up Studio,Japan,2000,Subsidiary of Nintendo. Formed by former employees of Square
11 bit studios,Poland,2010,Indie developer/publisher
1C Company,Russia,1991,"Game localization. The game development subsidiary, Snowball Studios [ru], was dissolved and former employees of the studios formed Snowbird Game Studios."
2K Czech,Czech Republic,1997,Former subsidiary of 2K Games; previously known as Illusion Softworks; closed in 2017 after merged into Hangar 13
2K Games,United States,2005,Developer/publisher/distributor/marketer; owned by Take-Two Interactive
2K Sports,United States,2005,Developer/publisher and subsidiary of 2K Games
343 Industries,United States,2009,"Subsidiary of Microsoft Studios, took over development for the Halo franchise from Bungie"
38 Studios,United States,2006,Defunct in 2012; their assets were acquired by THQ Nordic
3D Realms,United States,1987,
42 Entertainment,United States,1993,
4A Games,UkraineMalta,20052014,They moved its headquarters from Ukraine to Malta; acquired by Embracer Group in 2020[1]
505 Games,Italy,2006,Publishing division of Digital Bros. group.
5pb.,Japan,2005,"Label of KID until 2006, and of Cyberfront since then."
5th Cell,United States,2003,
7th Level,United States,1993,Defunct in 1998.
989 Studios,United States,1995,Division of Sony Computer Entertainment America
A&F Software,UK,1981,Merged with MC Lothlorien in 1986 to become Icon Design Ltd.
ABC Software,Switzerland,1991,Acquired by Electronic Arts in 1998.
ACE Team,Chile,2007,
ADK,Japan,1980,Known as Alpha Denshi Corporation in 1993. Defunct in 2003.
AGEod,France,2005,Acquired by Paradox Interactive in 2009 and renamed to Paradox France. They became independent in 2012 and their games are now published by The Slitherine Group.
ALcot,Japan,2003,
ANALOG Software,United States,1981,Software publishing arm of ANALOG Computing. Defunct in 1989.
APF Electronics Inc.,United States,1970,Defunct in 1983.
AQ Interactive,Japan,2005,Merged into Marvelous Entertainment in 2011
ASC Games,United States,1992,Defunct in 2000.
ASCII Corporation,Japan,1977,Acquired by Kadokawa Group Holdings in 2004.
Aackosoft,Netherlands,1983,Defunct in 1988.
Aardvark Software,UK,1983,Defunct in 1989.
Absolute Entertainment,United States,1986,Defunct in 1995.
Access Games,Japan,2002,Subsidiary of Digital Media Lab [ja]
Access Software,United States,1982,Acquired by Microsoft
Acclaim Entertainment,United States,1987,Developer/Publisher; declared Bankruptcy August 2004
Acclaim Studios Austin,United States,1991,Acquired by Acclaim Entertainment in 1995
Accolade,United States,1984,"Former publisher and developer. Acquired by Atari, SA née Infogrames in 1999, name retired."
Aces Studio,United States,,Acquired by Microsoft
Acornsoft,UK,1980,Rights sold to Superior Software in 1986.
Acquire,Japan,1994,Developer/publisher; acquired by GungHo Online Entertainment
Action Forms,Ukraine,1995,Their main employees moved to Tatem Games
Active Gaming Media,Japan,2006,"Game localization, debugging/testing, international indie game distribution, publishing"
Active Gaming Media AGM,Japan,2006,"PLAYISM part of Active Gaming Media Inc., focuses on the localization and distribution of video games."
