ime_igre,platforma
0,7
1,0
2,10
3,2
4,10
5,4
6,10
7,5
8,3
9,3
10,8
11,6
12,2
13,9
14,6
15,7
16,0
17,4
18,8
19,9
20,1
21,9
22,8
23,1
24,6
25,7
26,10
27,2
28,0
29,2
30,5
31,3
32,3
33,10
34,8
35,10
36,2
37,11
38,11
39,11
40,4
41,9
42,1
43,0
44,3
45,1
46,11
47,11
48,0
49,2
50,10
51,2
52,0
53,4
54,2
55,2
56,9
57,11
58,10
59,5
60,8
61,1
62,2
63,7
64,7
65,7
66,8
67,10
68,2
69,5
70,11
71,3
72,8
73,9
74,2
75,1
76,8
77,2
78,7
79,4
80,10
81,6
82,9
83,1
84,7
85,11
86,8
87,1
88,6
89,8
90,6
91,9
92,10
93,1
94,9
95,9
96,6
97,6
98,9
99,3
100,1
101,1
102,0
103,6
104,2
105,5
106,8
107,1
108,3
109,9
110,9
111,7
112,0
113,8
114,4
115,2
116,6
117,3
118,5
119,10
120,6
121,11
122,1
123,0
124,2
125,1
126,8
127,10
128,9
129,1
130,4
131,0
132,0
133,2
134,5
135,10
136,1
137,10
138,10
139,4
140,11
141,3
142,2
143,8
144,3
145,7
146,1
147,3
148,3
149,8
150,2
151,9
152,4
153,6
154,5
155,3
156,4
157,9
158,10
159,2
160,4
161,7
162,8
163,7
164,0
165,3
166,9
167,0
168,11
169,1
170,8
171,4
172,10
173,1
174,1
175,6
176,9
177,11
178,4
179,2
180,1
181,9
182,2
183,5
184,10
185,6
186,10
187,3
188,8
189,6
190,8
191,11
192,3
193,1
194,4
195,9
196,4
197,4
198,5
199,3
200,11
201,7
202,10
203,3
204,11
205,7
206,8
207,8
208,2
209,8
210,11
211,5
212,11
213,7
214,10
215,0
216,3
217,9
218,8
219,2
220,5
221,1
222,1
223,5
224,0
225,3
226,8
227,1
228,10
229,6
230,5
231,8
232,8
233,7
234,8
235,1
236,7
237,8
238,8
239,4
240,5
241,5
242,9
243,11
244,8
245,0
246,0
247,2
248,11
249,11
250,10
251,10
252,0
253,4
254,1
255,9
256,8
257,7
258,7
259,2
260,9
261,7
262,1
263,1
264,1
265,9
266,11
267,2
268,4
269,9
270,10
271,0
272,1
273,3
274,5
275,9
276,1
277,7
278,8
279,8
280,3
281,1
282,0
283,2
284,0
285,6
286,4
287,3
288,8
289,10
290,2
291,9
292,3
293,3
294,11
295,11
296,11
297,10
298,7
299,8
300,11
301,8
302,6
303,7
304,3
305,7
306,4
307,4
308,5
309,10
310,8
311,8
312,8
313,10
314,10
315,8
316,10
317,0
318,7
319,4
320,6
321,6
322,0
323,4
324,1
325,9
326,6
327,5
328,6
329,11
330,0
331,3
332,5
333,5
334,3
335,1
336,9
337,1
338,9
339,1
340,2
341,6
342,7
343,7
344,10
345,4
346,4
347,11
348,0
349,6
350,1
351,7
352,3
353,4
354,0
355,3
356,11
357,0
358,2
359,2
360,11
361,7
362,10
363,6
364,2
365,0
366,2
367,9
368,11
369,7
370,1
371,11
372,2
373,7
374,2
375,11
376,5
377,4
378,10
379,3
380,4
381,4
382,1
383,5
384,8
385,1
386,9
387,2
388,3
389,10
390,9
391,6
392,0
393,11
394,11
395,11
396,9
397,1
398,7
399,0
400,6
401,2
402,3
403,4
404,1
405,11
406,5
407,6
408,10
409,1
410,11
411,7
412,2
413,9
414,9
415,4
416,0
417,7
418,8
419,8
420,6
421,2
422,10
423,1
424,0
425,2
426,0
427,4
428,2
429,1
430,4
431,8
432,11
433,9
434,0
435,1
436,0
437,9
438,5
439,0
440,8
441,9
442,2
443,8
444,5
445,7
446,6
447,0
448,5
449,4
450,7
451,8
452,6
453,7
454,8
455,4
456,4
457,1
458,7
459,7
460,2
461,5
462,9
463,4
464,6
465,3
466,6
467,3
468,11
469,11
470,3
471,2
472,7
473,5
474,2
475,5
476,3
477,5
478,9
479,9
480,5
481,2
482,8
483,2
484,0
485,0
486,11
487,9
488,7
489,2
490,4
491,11
492,3
493,10
494,2
495,5
496,9
497,8
498,3
499,4
500,8
501,8
502,3
503,3
504,5
505,9
506,4
507,3
508,11
509,5
510,5
511,10
512,0
513,10
514,7
515,4
516,2
517,8
518,10
519,10
520,10
521,0
522,9
523,7
524,9
525,10
526,3
527,3
528,6
529,2
530,11
531,0
532,3
533,7
534,2
535,9
536,4
537,11
538,9
539,11
540,3
541,6
542,5
543,10
544,7
545,10
546,8
547,9
548,3
549,3
550,3
551,1
552,11
553,0
554,1
555,6
556,11
557,3
558,0
559,5
560,6
561,7
562,0
563,9
564,5
565,11
566,6
567,10
568,5
569,9
570,2
571,1
572,7
573,10
574,9
575,10
576,4
577,2
578,4
579,4
580,10
581,0
582,0
583,6
584,0
585,11
586,7
587,9
588,2
589,2
590,11
591,2
592,6
593,5
594,10
595,2
596,7
597,4
598,10
599,0
600,5
601,9
602,1
603,10
604,3
605,5
606,9
607,6
608,9
609,10
610,11
611,8
612,11
613,10
614,2
615,7
616,11
617,7
618,10
619,9
620,2
621,6
622,7
623,10
624,1
625,10
626,3
627,4
628,5
629,0
630,7
631,2
632,8
633,11
634,2
635,2
636,8
637,1
638,8
639,7
640,4
641,11
642,8
643,7
644,5
645,6
646,5
647,6
648,3
649,4
650,10
651,10
652,1
653,5
654,6
655,8
656,10
657,0
658,2
659,11
660,0
661,1
662,6
663,2
664,5
665,4
666,8
667,5
668,4
669,3
670,1
671,9
672,8
673,7
674,5
675,9
676,0
677,4
678,11
679,11
680,6
681,6
682,5
683,9
684,6
685,1
686,10
687,6
688,2
689,2
690,6
691,10
692,1
693,9
694,9
695,8
696,4
697,4
698,2
699,9
700,9
701,0
702,7
703,7
704,1
705,0
706,2
707,6
708,10
709,8
710,9
711,11
712,10
713,1
714,7
715,2
716,10
717,6
718,2
719,1
720,7
721,7
722,11
723,6
724,0
725,10
726,10
727,10
728,11
729,0
730,10
731,1
732,1
733,6
734,7
735,2
736,4
737,4
738,3
739,1
740,0
741,5
742,11
743,0
744,9
745,1
746,1
747,6
748,4
749,7
750,11
751,8
752,0
753,10
754,5
755,6
756,9
757,8
758,2
759,5
760,8
761,2
762,7
763,3
764,10
765,6
766,7
767,6
768,6
769,0
770,10
771,4
772,8
773,0
774,4
775,10
776,2
777,0
778,2
779,4
780,3
781,4
782,1
783,2
784,10
785,1
786,2
787,7
788,4
789,5
790,3
791,1
792,1
793,11
794,2
795,10
796,5
797,3
798,8
799,9
800,6
801,2
802,11
803,4
804,9
805,6
806,3
807,7
808,3
809,4
810,8
811,0
812,3
813,8
814,7
815,10
816,6
817,5
818,10
819,0
820,2
821,7
822,4
823,7
824,4
825,2
826,1
827,7
828,2
829,8
830,1
831,5
832,9
833,11
834,5
835,1
836,3
837,8
838,4
839,2
840,10
841,8
842,0
843,6
844,2
845,10
846,2
847,6
848,0
849,2
850,11
851,1
852,1
853,9
854,9
855,9
856,1
857,7
858,6
859,3
860,8
861,3
862,1
863,7
864,6
865,9
866,3
867,9
868,1
869,5
870,9
871,7
872,4
873,6
874,4
875,6
876,8
877,11
878,3
879,2
880,4
881,5
882,4
883,3
884,5
885,5
886,11
887,11
888,1
889,8
890,5
891,4
892,5
893,1
894,4
895,4
896,11
897,11
898,2
899,3
900,7
901,0
902,10
903,8
904,6
905,6
906,1
907,8
908,10
909,7
910,6
911,5
912,0
913,3
914,5
915,9
916,1
917,2
918,3
919,8
920,11
921,1
922,3
923,10
924,4
925,7
926,5
927,7
928,9
929,11
930,9
931,3
932,7
933,11
934,8
935,7
936,7
937,8
938,4
939,4
940,0
941,4
942,5
943,1
944,3
945,5
946,1
947,2
948,8
949,1
950,10
951,8
952,5
953,11
954,10
955,0
956,6
957,5
958,10
959,6
960,11
961,3
962,3
963,3
964,0
965,7
966,1
967,0
968,1
969,7
970,9
971,10
972,2
973,4
974,7
975,9
976,8
977,4
978,11
979,10
980,8
981,10
982,2
983,11
984,11
985,2
986,11
987,10
988,9
989,5
990,8
991,4
992,1
993,0
994,3
995,6
996,0
997,8
998,2
999,8
1000,0
1001,1
1002,10
1003,6
1004,4
1005,2
1006,7
1007,6
1008,11
1009,3
1010,9
1011,5
1012,11
1013,9
1014,10
1015,5
1016,11
1017,7
1018,4
1019,2
1020,9
1021,11
1022,10
1023,3
1024,0
1025,4
1026,11
1027,2
1028,0
1029,11
1030,9
1031,8
1032,3
1033,11
1034,9
1035,7
1036,4
1037,2
1038,7
1039,6
1040,9
1041,5
1042,7
1043,1
1044,7
1045,10
1046,0
1047,4
1048,4
1049,6
1050,11
1051,5
1052,4
1053,2
1054,9
1055,10
1056,2
1057,10
1058,10
1059,3
1060,2
1061,4
1062,3
1063,5
1064,8
1065,2
1066,9
1067,11
1068,6
1069,2
1070,0
1071,2
1072,9
1073,2
1074,10
1075,2
1076,11
1077,4
1078,4
1079,11
1080,0
1081,10
1082,1
1083,6
1084,10
1085,8
1086,4
1087,8
1088,0
1089,9
1090,11
1091,8
1092,7
1093,5
1094,0
1095,9
1096,3
1097,7
1098,8
1099,5
1100,11
1101,7
1102,6
1103,3
1104,1
1105,6
1106,8
1107,1
1108,5
1109,11
1110,0
1111,9
1112,3
1113,0
1114,11
1115,6
1116,2
1117,10
1118,6
1119,3
1120,3
1121,11
1122,5
1123,9
1124,9
1125,6
1126,5
1127,0
1128,3
1129,0
1130,8
1131,6
1132,8
1133,6
1134,11
1135,5
1136,2
1137,11
1138,5
1139,5
1140,1
1141,8
1142,7
1143,7
1144,9
1145,7
1146,11
1147,1
1148,5
1149,4
1150,5
1151,9
1152,8
1153,1
1154,2
1155,5
1156,1
1157,4
1158,11
1159,7
1160,6
1161,0
1162,3
1163,2
1164,3
1165,0
1166,5
1167,3
1168,2
1169,5
1170,1
1171,10
1172,3
1173,2
1174,10
1175,4
1176,11
1177,0
1178,4
1179,7
1180,8
1181,9
1182,8
1183,8
1184,8
1185,5
1186,9
1187,0
1188,0
1189,11
1190,3
1191,4
1192,4
1193,11
1194,0
1195,10
1196,1
1197,10
1198,0
1199,10
1200,4
1201,6
1202,9
1203,8
1204,0
1205,5
1206,1
1207,8
1208,3
1209,11
1210,5
1211,7
1212,3
1213,6
1214,1
1215,2
1216,1
1217,9
1218,10
1219,7
1220,6
1221,2
1222,2
1223,1
1224,8
1225,0
1226,6
1227,7
1228,0
1229,1
1230,11
1231,1
1232,8
1233,5
1234,4
1235,6
1236,1
1237,1
1238,0
1239,8
1240,4
1241,4
1242,11
1243,10
1244,2
1245,6
1246,2
1247,8
1248,3
1249,2
1250,0
1251,4
1252,7
1253,6
1254,6
1255,11
1256,3
1257,1
1258,3
1259,11
1260,1
1261,6
1262,9
1263,0
1264,0
1265,0
1266,2
1267,2
1268,9
1269,9
1270,10
1271,7
1272,4
1273,5
1274,0
1275,8
1276,7
1277,3
1278,1
1279,8
1280,10
1281,8
1282,3
1283,10
1284,7
1285,11
1286,1
1287,0
1288,8
1289,1
1290,8
1291,7
1292,0
1293,6
1294,8
1295,1
1296,8
1297,3
1298,8
1299,4
1300,5
1301,5
1302,11
1303,6
1304,8
1305,3
1306,9
1307,4
1308,3
1309,1
1310,11
1311,7
1312,1
1313,3
1314,7
1315,10
1316,11
1317,2
1318,1
1319,2
1320,4
1321,5
1322,4
1323,4
1324,2
1325,8
1326,11
1327,6
1328,7
1329,0
1330,5
1331,7
1332,7
1333,6
1334,5
1335,9
1336,5
1337,3
1338,0
1339,2
1340,2
1341,0
1342,2
1343,7
1344,2
1345,10
1346,1
1347,2
1348,1
1349,5
1350,0
1351,1
1352,3
1353,5
1354,7
1355,3
1356,3
1357,1
1358,5
1359,10
1360,3
1361,1
1362,2
1363,5
1364,9
1365,6
1366,1
1367,2
1368,5
1369,1
1370,0
1371,0
1372,0
1373,9
1374,8
1375,5
1376,3
1377,9
1378,4
1379,11
1380,11
1381,10
1382,8
1383,2
1384,6
1385,8
1386,10
1387,2
1388,2
1389,11
1390,10
1391,9
1392,11
1393,4
1394,0
1395,9
1396,1
1397,9
1398,7
1399,8
1400,6
1401,4
1402,8
1403,6
1404,9
1405,7
1406,8
1407,10
1408,5
1409,1
1410,0
1411,1
1412,4
1413,10
1414,3
1415,10
1416,6
1417,2
1418,6
1419,1
1420,5
1421,0
1422,1
1423,4
1424,6
1425,9
1426,0
1427,9
1428,9
1429,11
1430,3
1431,7
1432,11
1433,11
1434,10
1435,8
1436,6
1437,4
1438,8
1439,9
1440,8
1441,0
1442,9
1443,1
1444,5
1445,4
1446,5
1447,9
1448,0
1449,10
1450,7
1451,10
1452,6
1453,10
1454,0
1455,8
1456,5
1457,1
1458,3
1459,3
1460,5
1461,5
1462,0
1463,3
1464,0
1465,1
1466,11
1467,2
1468,3
1469,5
1470,0
1471,7
1472,9
1473,8
1474,7
1475,8
1476,11
1477,0
1478,8
1479,4
1480,1
1481,9
1482,5
1483,1
1484,2
1485,6
1486,9
1487,10
1488,2
1489,7
1490,4
1491,2
1492,9
1493,2
1494,6
1495,9
1496,10
1497,11
1498,8
1499,7
1500,1
1501,9
1502,2
1503,5
1504,4
1505,1
1506,10
1507,1
1508,6
1509,1
1510,0
1511,9
1512,2
1513,7
1514,0
1515,0
1516,9
1517,7
1518,0
1519,9
1520,11
1521,0
1522,3
1523,5
1524,2
1525,6
1526,0
1527,6
1528,9
1529,6
1530,1
1531,8
1532,11
1533,1
1534,8
1535,2
1536,9
1537,11
1538,3
1539,2
1540,2
1541,5
1542,9
1543,6
1544,9
1545,5
1546,6
1547,8
1548,0
1549,5
1550,0
1551,2
1552,8
1553,5
1554,1
1555,8
1556,5
1557,8
1558,1
1559,4
1560,9
1561,3
1562,8
1563,5
1564,9
1565,6
1566,5
1567,10
1568,4
1569,8
1570,0
1571,3
1572,11
1573,9
1574,5
1575,11
1576,2
1577,6
1578,4
1579,8
1580,9
1581,8
1582,2
1583,2
1584,0
1585,5
1586,7
1587,10
1588,0
1589,3
1590,9
1591,8
1592,3
1593,8
1594,8
1595,4
1596,1
1597,3
1598,1
1599,10
1600,1
1601,1
1602,7
1603,11
1604,7
1605,0
1606,3
1607,7
1608,11
1609,7
1610,11
1611,1
1612,1
1613,7
1614,8
1615,5
1616,1
1617,0
1618,7
1619,0
1620,5
1621,4
1622,5
1623,6
1624,11
1625,9
1626,7
1627,6
1628,11
1629,11
1630,11
1631,3
1632,3
1633,6
1634,7
1635,0
1636,11
1637,8
1638,4
1639,1
1640,8
1641,1
1642,1
1643,11
1644,8
1645,9
1646,8
1647,8
1648,11
1649,1
1650,7
1651,3
1652,9
1653,2
1654,6
1655,0
1656,7
1657,4
1658,0
1659,1
1660,5
1661,11
1662,4
1663,3
1664,4
1665,6
1666,9
1667,0
1668,10
1669,5
1670,10
1671,9
1672,8
1673,11
1674,0
1675,10
1676,5
1677,1
1678,1
1679,8
1680,4
1681,6
1682,3
1683,3
1684,2
1685,5
1686,10
1687,10
1688,11
1689,10
1690,5
1691,7
1692,5
1693,2
1694,7
1695,2
1696,7
1697,0
1698,7
1699,10
1700,8
1701,5
1702,4
1703,2
1704,0
1705,2
1706,7
1707,10
1708,10
1709,0
1710,5
1711,0
1712,9
1713,0
1714,5
1715,3
1716,3
1717,10
1718,5
1719,10
1720,10
1721,3
1722,9
1723,7
1724,1
1725,11
1726,1
1727,4
1728,5
1729,2
1730,4
1731,7
1732,11
1733,3
1734,11
1735,9
1736,2
1737,8
1738,4
1739,5
1740,5
1741,1
1742,9
1743,0
1744,10
1745,2
1746,1
1747,11
1748,10
1749,0
1750,9
1751,5
1752,5
1753,10
1754,9
1755,5
1756,11
1757,2
1758,7
1759,10
1760,11
1761,10
1762,6
1763,2
1764,10
1765,5
1766,8
1767,9
1768,9
1769,11
1770,9
1771,8
1772,0
1773,9
1774,11
1775,9
1776,2
1777,10
1778,2
1779,5
1780,8
1781,3
1782,9
1783,4
1784,3
1785,8
1786,8
1787,4
1788,7
1789,6
1790,11
1791,3
1792,2
1793,0
1794,5
1795,4
1796,8
1797,4
1798,10
1799,10
1800,1
1801,7
1802,6
1803,9
1804,2
1805,9
1806,6
1807,1
1808,0
1809,11
1810,11
1811,4
1812,11
1813,9
1814,7
1815,0
1816,1
1817,0
1818,9
1819,2
1820,6
1821,8
1822,1
1823,3
1824,9
1825,6
1826,5
1827,2
1828,9
1829,1
1830,9
1831,6
1832,3
1833,7
1834,4
1835,0
1836,8
1837,3
1838,3
1839,6
1840,6
1841,2
1842,4
1843,0
1844,10
1845,4
1846,2
1847,2
1848,8
1849,1
1850,5
1851,6
1852,0
1853,10
1854,0
1855,4
1856,7
1857,4
1858,11
1859,0
1860,0
1861,6
1862,9
1863,10
1864,5
1865,1
1866,4
1867,8
1868,10
1869,0
1870,6
1871,10
1872,2
1873,6
1874,7
1875,0
1876,3
1877,2
1878,6
1879,4
1880,0
1881,8
1882,5
1883,1
1884,6
1885,0
1886,9
1887,8
1888,9
1889,5
1890,1
1891,11
1892,0
1893,7
1894,8
1895,8
1896,5
1897,3
1898,2
1899,3
1900,8
1901,11
1902,1
1903,2
1904,11
1905,5
1906,7
1907,3
1908,10
1909,11
1910,6
1911,11
1912,7
1913,3
1914,0
1915,5
1916,3
1917,8
1918,6
1919,5
1920,10
1921,11
1922,9
1923,10
1924,11
1925,11
1926,2
1927,0
1928,4
1929,9
1930,9
1931,1
1932,6
1933,1
1934,7
1935,11
1936,6
1937,4
1938,9
1939,9
1940,4
1941,11
1942,5
1943,9
1944,9
1945,11
1946,4
1947,3
1948,6
1949,10
1950,8
1951,6
1952,8
1953,9
1954,10
1955,2
1956,8
1957,11
1958,1
1959,8
1960,2
1961,11
1962,1
1963,11
1964,2
1965,3
1966,0
1967,0
1968,1
1969,6
1970,4
1971,11
1972,5
1973,9
1974,5
1975,8
1976,8
1977,6
1978,4
1979,7
1980,4
1981,7
1982,9
1983,0
1984,6
1985,0
1986,1
1987,1
1988,11
1989,4
1990,5
1991,1
1992,8
1993,1
1994,1
1995,7
1996,7
1997,11
