id,podjetje,ime_igre
0,WTFOMGames,! That Bastard Is Trying To Steal Our Gold !
1,GQG PUBLISHER,!AnyWay!
2,UPandQ,!LABrpgUP!
3,Tyler Hurd,"""BUTTS: The VR Experience"""
4,WTFOMGames,"""Glow Ball"" - The billiard puzzle game"
5,The Domaginarium,"""Project Whateley"""
6,Semen Rodin,"""TWO DRAW"""
7,Bandello,#Archery
8,Sunrise9,#CuteSnake
9,Sunrise9,#CuteSnake 2
10,VT Publishing,#Have A Sticker
11,"8Floor, Beatshapers",#KILLALLZOMBIES
12,Bandello,#SelfieTennis
13,Eko,#WarGames
14,Paleno Games,#monstercakes
15,Back To Basics Gaming,$1 Ride
16,Jesper Skjærbæk,'1st Core: The Zombie Killing Cyborg'
17,Klabater,'90s Football Stars
18,Skobbejak Games,'n Verlore Verstand
19,"Beijing New Era Network Technology Co., Ltd.",(Chinese PaladinSword and Fairy 4)
20,"Beijing New Era Network Technology Co., Ltd.",(Chinese PaladinSword and Fairy 5)
21,Cow Corp.,(Removed from steam store)
22,派嘉数创科技有限公司,(VR)西汉帝陵 The Han Dynasty Imperial Mausoleums
23,WAX Publishing,- Arcane Raise -
24,"Two Man Army Games, L.L.C",.EXE
25,Veslo Games,.T.E.S.T: Expected Behaviour — Sci-Fi 3D Puzzle Quest
26,BANDAI NAMCO Entertainment,.hack//G.U. Last Recode
27,Kyrylo Kuzyk,.projekt
28,KISS ltd,//N.P.P.D. RUSH//- The milk of Ultraviolet
29,KISS ltd,//SNOWFLAKE TATTOO//
30,Zero Day Games,0 Day
31,SoftWeir Inc.,001 Game Creator
32,Mastertronic,0RBITALIS
33,Colorfiction,0°N 0°W
34,David Vecchione,1 HIT KILL
35,Jetdogs Studios,1 Moment Of Time: Silentville
36,Blaiz Entertainment,1 vs 1 : Global Operations
37,KISS ltd,"1,000 Heads Among the Trees"
38,PITAYA NETWORK LIMITED,1-2-Swift
39,Studio Puffer LLC,10 Minute Barbarian
40,SEGA,10 Minute Tower
41,Mastertronic,10 Second Ninja
42,Curve Digital,10 Second Ninja X
43,Rock Paper Games,10 Years After
44,Zynk Software,10 seconds
45,William Brown,100 Chests
46,Cien Studio,100 Seconds
47,Fruitbat Factory,100% Orange Juice
48,Brandon Brizzi,1000 Amps
49,ltaoist,1000 Stages
50,EightyEightGames,10000000
51,8floor,1001 Jigsaw. Home Sweet Home
52,8floor,1001 Jigsaw. Legends of Mystery
53,"Nicalis, Inc.",1001 Spikes
54,No Goblin,100ft Robot Golf
55,.M.Y.W.,100nya
56,4 Door Lemon Vision 1,101 Ways to Die
57,WalkBoy Studio,1010
58,Dystopia Interactive,103
59,Dynamoid,10k
60,BANDAI NAMCO Entertainment Europe,11-11 Memories Retold
61,Predator Productions,1166
62,Jetdogs Studios,12 Labours of Hercules
63,Jetdogs Studios,12 Labours of Hercules II: The Cretan Bull
64,Jetdogs Studios,12 Labours of Hercules III: Girl Power
65,Jetdogs Studios,12 Labours of Hercules IV: Mother Nature (Platinum Edition)
66,Jetdogs Studios,12 Labours of Hercules V: Kids of Hellas (Platinum Edition)
67,Jetdogs Studios,12 Labours of Hercules VI: Race for Olympus (Platinum Edition)
68,Jetdogs Studios,12 Labours of Hercules VII: Fleecing the Fleece (Platinum Edition)
69,Jetdogs Studios,12 Labours of Hercules VIII: How I Met Megara
70,HypeTrain Digital,12 is Better Than 6
71,Roman Uhlig,12 orbits
72,"Impulse Game Studios, LLC",123 Slaughter Me Street
73,"Impulse Game Studios, LLC.",123 Slaughter Me Street 2
74,Carlsen Games,140
75,HandyGames,15 Days
76,Atriagames,15 Defense
77,Studio48,15 seconds
78,Garage Games,"150,000 B.C."
79,16bitarena.com,16 Bit Arena
80,Forever Entertainment S. A.,16bit Trader
81,HexWar Games,1775: Rebellion
82,Winking Skywalker,18 Floors
83,"ValuSoft, Play Hard Games",18 Wheels of Steel: American Long Haul
84,"ValuSoft, Play Hard Games",18 Wheels of Steel: American Long Haul
85,"Valusoft, Play Hard Games",18 Wheels of Steel: Convoy
86,"ValuSoft, Play Hard Games",18 Wheels of Steel: Extreme Trucker
87,"ValuSoft, Play Hard Games",18 Wheels of Steel: Extreme Trucker 2
88,"Play Hard Games, ValuSoft",18 Wheels of Steel: Haulin’
89,КиКо,18+
90,HexWar Games,1812: The Invasion of Canada
91,SomaSim,1849
92,Amaterasu Software,1914: Prelude to Chaos
93,OtakuMaker.com,1917 - The Alien Invasion DX
94,"Black Chicken Studios, inc.",1931: Scheherazade at the Library of Pergamum
95,BBC Media Applications Technologies Limited,1943 Berlin Blitz
96,HandyGames,1943 Deadly Desert
97,GameUS Inc,1943 Megami Strike
98,United Independent Entertainment GmbH,1953 - KGB Unleashed
99,Wastelands Interactive,1953: NATO vs Warsaw Pact
100,Daedalic Entertainment,1954 Alcatraz
101,Jonni Hirst,1979 Invasion Earth
102,iNK Stories,1979 Revolution: Black Friday
103,Bit Toys,1982
104,Modesty by Exceed,1993 Space Machine
105,Evan Tognotti,199X
106,Chicken in The Corn,1HEART
107,Ratz 'N' Godz,1Quest
108,1bit,1bit Pzzle
109,AGM PLAYISM,1bitHeart
110,Vogelfänger,2 Ninjas 1 Cup
111,rokaplay,2 Planets Fire and Ice
112,Microïds Indie,20.000 Leagues Under The Sea - Captain Nemo
113,Fruitbat Factory,200% Mixed Juice!
114,Tungsten Games,2017 VR
115,Lucas Alexander Visual Arts,2048
116,"MidBoss, LLC., AGM PLAYISM",2064: Read Only Memories
117,Feardemic,2084
118,Batterystaple Games,20XX
119,Jake Tucker,20something
120,Softwaves Dist.,21
121,Hardtalk Studio,21 Days
122,Grigory Everstov,21 Steps to Soul
123,КиКо,21+
124,REMIMORY,222 Hearts
125,Sekai Project,2236 A.D.
126,珠海心游科技股份有限公司,2260 VR
127,Freshtrax,24 HOURS
128,"BrainCraft Gaming, FlynnFour Games",24 Hours 'til Rescue
129,indie_games_studio,25 Cadre of Death
130,Political Games LLC,270 | Two Seventy US Election
131,Dagestan Technology,28 Waves Later
132,rokaplay,2D Mahjong Temple
133,Laush Studio,2D Neon Cube
134,2DGameMania,2DGameManias Taken
135,Bigben Interactive,2Dark
136,"Truant Pixel, LLC",2MD VR Football
137,2BAD GAMES,2URVIVE - Definitive Edition
138,intertum,2V Hoverbike
139,Jesper Skjærbæk,2nd Circle - Powerful Magic
140,89AM Studio,3 Coins At School
141,Gamaliel Games,3 Days in the Abyss
142,Degica,3 Stars of Destiny
143,Qumaron,3 days: Zoo Mystery
144,Yannstr,"3, 2, 1, SURVIVE !"
145,Banyango,3..2..1..Grenades!
146,Abstract Tree Studio,30 IMPOSSIBLE LEVELS
147,Indovers Studio,30 Seconds To Jail
148,"Viva Media, Inc",300 Dwarves
149,Movie Games S.A.,303 Squadron: Battle of Britain
150,Crunchy Leaf Games,3030 Deathwar Redux - A Space Odyssey
151,Phr00t's Software,3079 -- Block Action RPG
152,Phr00t's Software,3089 -- Futuristic Action RPG
153,Toxodon Games,30th Century Post Office
154,FRAPPA STUDIO,3571 The Game
155,Носков Сергей,35MM
156,Petite Games,36 Fragments of Midnight
157,Rabid Design Studio,360 No Scope!
158,It's Anecdotal,39 Days to Mars
159,Indie,3Buttons
160,Ojas VR Studios,3C Wonderland Coaster
161,rokapublish,3D Arcade Fishing
162,rokapublish,3D Chess
163,3dm_live_wallpapers,3D Earth Time Lapse PC Live Wallpaper
164,Laush Stuido,3D Gravity Rocket
165,Laush Studio,3D Hardcore Cube
166,Laush Studio,3D Hardcore Cube 2
167,PixelBrain Studio,3D Mahjong worlds
168,rokapublish,3D MiniGolf
169,Medis Media,3D Organon Anatomy
170,Medis Media,3D Organon VR Anatomy
171,khos85,3D Paraglider
172,TopWare Interactive,3D ParticleGen Visual FX
173,familyplay,3D Pool
174,DMD 'Ware,3D Sprite Renderer
175,Mikhail Melnikov,3D Tower
176,Pilgway,3DCoat 4.8
177,Pilgway,3DCoat Modding Tool
178,3Dflow SRL,3DF Zephyr Lite Steam Edition
179,UL,3DMark 11
180,Doomster Entertainment,3DRPG
181,Topware Interactive,3SwitcheD
182,Dahlenburg,3d Bridges
183,Dahlenburg,3d Engineers
184,Vain Media LLC,3dSunshine
185,"PLUSPLUS Co.,LTD",3tene
186,Playrix Entertainment,4 Elements
187,Lost Marble,4 for the Money Demo
188,Black Phoenix Studio,40 Days [四十天]
189,Retro Yeti Games,404Sight
190,Phr00t's Software,4089: Ghost Within
191,"Spike Chunsoft Co., Ltd.",428: Shibuya Scramble
192,Julian Schlüntz,4D Minesweeper
193,4PM GAME,4PM
194,Heisenberg Entertainment,4Team
195,Mercator,4X-Galaxy 无主之地：银河
196,CWDI GAMES,4XST Shipyard
197,Moontower VFX,4th of July VR
198,Strategy First,4x4 Dream Race
199,magnussoft,4x4 Offroad Racing - Nitro
200,Mirador Studio,4x4 Road Race
201,Indomitus Games,5 Minutes Rage
202,rokaplay,5 Star Hawaii Resort - Your Resort
203,rokaplay,5 Star Rio Resort
204,Games for All,5-in-1 Pack - Monument Builders: Destination USA
205,Jinsimer Games,50 Years
206,Aleksandr Golovkin,50 years
207,Poorwill Games,500 Years Act 1
208,Phr00t's Software,5089: The Action RPG
209,ijal,5Rings
210,TopArcadeApps,6 Nights
211,ALEKSANDER CHEPAIKIN,6-in-1 IQ Scale Bundle
212,Robot Gentleman,60 Parsecs!
213,Amplecti Chao,60 Second Strike
214,Robot Gentleman,60 Seconds!
215,Turtle Cream,6180 the moon
216,"indienova, GrabTheGames",64.0
217,Strategy First,688(I) Hunter/Killer
218,Wadup Games,69 Ways to Kill a Zombie
219,Zac,7
220,Tomorrow Corporation,7 Billion Humans
221,0Cube,7 Days in Dream 光尘
222,The Fun Pimps Entertainment LLC,7 Days to Die
223,Mousechief,7 Grand Steps: What Ancients Begat
224,"Napoleon Games, s.r.o.",7 Mages
225,Mark Hagan,7 Pillars
226,Mario D'Eliso,7 Soccer: a sci-fi soccer tale
227,MumboJumbo,7 Wonders II
228,MumboJumbo,7 Wonders of the Ancient World
229,MumboJumbo,7 Wonders: Ancient Alien Makeover
230,MumboJumbo,7 Wonders: Magical Mystery Tour
231,MumboJumbo,7 Wonders: Treasures of Seven
232,Narrator,7 days with Death
233,1C Entertainment,"7,62 Hard Life"
234,1C Entertainment,"7,62 High Calibre"
235,ALEKSANDER CHEPAIKIN,7-in-1 Brain Sharpness Bundle
236,VladProduction,7-minute HOP
237,Tero Lunkka,70 Seconds Survival
238,上海游七网络科技有限公司,7D Game （VR for VIVE）
239,VRMonkey,7VR Wonders
240,G. A. Williams,7th Deep
241,Choice of Games,7th Sea: A Pirate's Pact
242,One Buck,8 Ball
243,SlyGames,8 Queens
244,Critical Games,8-Bit Adventures: The Forgotten Journey Remastered Edition
245,LunarCitySeven,8-Bit Arena VR
246,Petroglyph,8-Bit Armies
247,2dengine,8-Bit Commando
248,Petroglyph,8-Bit Hordes
249,Petroglyph,8-Bit Invaders!
250,Abstraction Games,8-bit Adventure Anthology: Volume I
251,ALEKSANDER CHEPAIKIN,8-in-1 IQ Scale Bundle
252,inkle Ltd,80 Days
253,CloudScapeGT,80.08
254,Michael Brough,868-HACK
255,Rising Star Games,88 Heroes
256,Frozen Dev,8Bit Fiesta
257,AwesomeBlade,8BitBoy
258,Archive Entertainment,8BitMMO
259,Dexion Games,8bit Invasion
260,8i,8i - Make VR Human
261,Forever Entertainment S. A.,8infinity
262,CasGames,9 Balls
263,Artifex Mundi,9 Clues 2: The Ward
264,Artifex Mundi,9 Clues: The Secret of Serpent Creek
265,Space Budgie,9.03m
266,Isokron,90 Minute Fever - Football (Soccer) Manager MMO
267,Barnaque,900
268,"Games Operators, PlayWay S.A.",911 Operator
269,Strategy First,96 Mill
270,Zaxis Games,99 Levels To Hell
271,Fruitbat Factory,99 Spirits
272,SpookyFish Games,99 Waves to Die
273,Fat Finger Foundry,994 W 24th
274,Tydecon Games,999
275,QUByte Interactive,99Vidas
276,RedFox Games,9Dragons
277,Ignite VR,9Grids VR
278,Strategy First,9th Company: Roots Of Terror
279,Valorware,9th Dawn Classic - Clunky controls edition
280,Valorware,9th Dawn II
281,Nullray Gaming,>//:System.Hack
282,Corpix Lab,>Mars Taken
283,Aspyr,>observer_
284,No Pest Productions,A Bastard's Tale
285,Freebird Games,A Bird Story
286,Plug In Digital,A Blind Legend
287,Emanuele Leoncilli,A Bloody Night
288,Squiddershins,A Book of Beasts and Buddies
289,Pixel Island,A Boy and His Beard
290,"Midnight City, Majesco Entertainment",A Boy and His Blob
291,S.A. DigiWorks,A Business Power
292,Sekai Project,A Butterfly in the District of Dreams
293,Serenity Forge,A Case of Distrust
294,Wolf & Wood Interactive Ltd,A Chair in a Room : Greenwater
295,Black Banshee Studios,A Christmas Peril
